161102 14:43:16	   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id` WHERE `shoppe_product_category_translations`.`permalink` = 'network-eqipment' AND `shoppe_product_category_translations`.`locale` = 'en'  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_settings`.* FROM `shoppe_settings`
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 4 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 4
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 5 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 5
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`id` = 5 LIMIT 1
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 8 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 8
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` = 2
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 11 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 11
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 12 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` = 12
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` = 3
		   10 Query	SELECT `shoppe_product_categories`.`id` AS t0_r0, `shoppe_product_categories`.`name` AS t0_r1, `shoppe_product_categories`.`permalink` AS t0_r2, `shoppe_product_categories`.`description` AS t0_r3, `shoppe_product_categories`.`created_at` AS t0_r4, `shoppe_product_categories`.`updated_at` AS t0_r5, `shoppe_product_categories`.`parent_id` AS t0_r6, `shoppe_product_categories`.`lft` AS t0_r7, `shoppe_product_categories`.`rgt` AS t0_r8, `shoppe_product_categories`.`depth` AS t0_r9, `shoppe_product_categories`.`ancestral_permalink` AS t0_r10, `shoppe_product_categories`.`permalink_includes_ancestors` AS t0_r11, `shoppe_product_category_translations`.`id` AS t1_r0, `shoppe_product_category_translations`.`shoppe_product_category_id` AS t1_r1, `shoppe_product_category_translations`.`locale` AS t1_r2, `shoppe_product_category_translations`.`created_at` AS t1_r3, `shoppe_product_category_translations`.`updated_at` AS t1_r4, `shoppe_product_category_translations`.`name` AS t1_r5, `shoppe_product_category_translations`.`permalink` AS t1_r6, `shoppe_product_category_translations`.`description` AS t1_r7 FROM `shoppe_product_categories` LEFT OUTER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id`  ORDER BY shoppe_product_category_translations.name
